"LoginID","CustomerID","LoginType","DeviceInterface","MobileDeviceName","WebInterface","LastLogin"
"1","1","Web","Web","","Microsoft Edge","2024-10-30T13:01:05.835609"
"2","1","Mobile","iOS","iPhone","","2024-10-29T13:01:05.835609"
"3","1","Mobile","Android","Xiaomi","","2024-10-22T13:01:05.835609"
"4","1","Web","Web","","Firefox","2024-10-21T13:01:05.835609"
"5","1","Web","Web","","Safari","2024-10-14T13:01:05.835609"
"6","1","Mobile","Android","Samsung Galaxy","","2024-10-17T13:01:05.835609"
"7","1","Web","Web","","Opera","2024-10-12T13:01:05.835609"
"8","1","Mobile","iOS","iPhone","","2024-10-10T13:01:05.835609"
"9","1","Web","Web","","UC Browser","2024-09-30T13:01:05.835609"
"10","1","Web","Web","","Opera","2024-10-02T13:01:05.835609"
"11","1","Mobile","Android","Realme","","2024-09-29T13:01:05.835609"
"12","1","Mobile","iOS","iPhone","","2024-09-25T13:01:05.835609"
"13","1","Mobile","Android","Google Pixel","","2024-09-18T13:01:05.835609"
"14","1","Web","Web","","Other","2024-09-21T13:01:05.835609"
"15","1","Mobile","iOS","iPhone","","2024-09-12T13:01:05.835609"
"16","1","Mobile","iOS","iPhone","","2024-09-15T13:01:05.835609"
"17","1","Mobile","Android","Realme","","2024-09-05T13:01:05.835609"
"18","1","Mobile","Android","Vivo","","2024-09-03T13:01:05.835609"
"19","1","Mobile","Android","Oppo","","2024-08-30T13:01:05.835609"
"20","1","Web","Web","","Microsoft Edge","2024-08-31T13:01:05.835609"
"21","1","Web","Web","","Microsoft Edge","2024-08-22T13:01:05.835609"
"22","1","Mobile","Android","Vivo","","2024-08-19T13:01:05.835609"
"23","1","Web","Web","","Google Chrome","2024-08-14T13:01:05.835609"
"24","1","Web","Web","","Google Chrome","2024-08-18T13:01:05.835609"
"25","1","Mobile","iOS","iPhone","","2024-08-09T13:01:05.835609"
"26","1","Mobile","Android","Google Pixel","","2024-08-09T13:01:05.835609"
"27","1","Web","Web","","UC Browser","2024-07-29T13:01:05.835609"
"28","1","Mobile","iOS","iPhone","","2024-07-31T13:01:05.835609"
"29","1","Web","Web","","UC Browser","2024-07-23T13:01:05.835609"
"30","1","Mobile","Android","Google Pixel","","2024-07-25T13:01:05.835609"
"31","1","Web","Web","","Other","2024-07-19T13:01:05.835609"
"32","1","Mobile","Android","Realme","","2024-07-15T13:01:05.835609"
"33","1","Web","Web","","Safari","2024-07-13T13:01:05.835609"
"34","1","Web","Web","","Google Chrome","2024-07-08T13:01:05.835609"
"35","1","Web","Web","","Google Chrome","2024-07-05T13:01:05.835609"
"36","1","Web","Web","","Safari","2024-07-01T13:01:05.835609"
"37","1","Web","Web","","Safari","2024-06-26T13:01:05.835609"
"38","1","Web","Web","","Microsoft Edge","2024-06-30T13:01:05.835609"
"39","1","Mobile","Android","Realme","","2024-06-22T13:01:05.835609"
