"LoginID","CustomerID","LoginType","DeviceInterface","MobileDeviceName","WebInterface","LastLogin"
"625","9","Web","Web","","UC Browser","2024-11-02T13:01:05.835609"
"626","9","Web","Web","","Safari","2024-10-26T13:01:05.835609"
"627","9","Mobile","Android","Google Pixel","","2024-10-19T13:01:05.835609"
"628","9","Web","Web","","Safari","2024-10-12T13:01:05.835609"
"629","9","Mobile","iOS","iPhone","","2024-10-06T13:01:05.835609"
"630","9","Mobile","iOS","iPhone","","2024-09-26T13:01:05.835609"
"631","9","Web","Web","","UC Browser","2024-09-17T13:01:05.835609"
"632","9","Web","Web","","Microsoft Edge","2024-09-10T13:01:05.835609"
"633","9","Web","Web","","Microsoft Edge","2024-09-06T13:01:05.835609"
"634","9","Web","Web","","Microsoft Edge","2024-08-29T13:01:05.835609"
"635","9","Web","Web","","UC Browser","2024-08-19T13:01:05.835609"
"636","9","Mobile","Android","OnePlus","","2024-08-15T13:01:05.835609"
"637","9","Web","Web","","Safari","2024-08-07T13:01:05.835609"
"638","9","Web","Web","","Safari","2024-07-31T13:01:05.835609"
"639","9","Mobile","Android","Vivo","","2024-07-25T13:01:05.835609"
"640","9","Web","Web","","Other","2024-07-21T13:01:05.835609"
"641","9","Mobile","iOS","iPhone","","2024-07-14T13:01:05.835609"
"642","9","Mobile","Android","Samsung Galaxy","","2024-07-01T13:01:05.835609"
"643","9","Web","Web","","Other","2024-06-30T13:01:05.835609"
"644","9","Web","Web","","Microsoft Edge","2024-06-18T13:01:05.835609"
"645","9","Mobile","iOS","iPhone","","2024-06-13T13:01:05.835609"
"646","9","Web","Web","","Safari","2024-06-03T13:01:05.835609"
"647","9","Web","Web","","Google Chrome","2024-06-01T13:01:05.835609"
"648","9","Mobile","iOS","iPhone","","2024-05-20T13:01:05.835609"
"649","9","Web","Web","","UC Browser","2024-05-17T13:01:05.835609"
"650","9","Web","Web","","Other","2024-05-09T13:01:05.835609"
"651","9","Web","Web","","Opera","2024-05-05T13:01:05.835609"
"652","9","Web","Web","","Microsoft Edge","2024-04-25T13:01:05.835609"
"653","9","Web","Web","","Google Chrome","2024-04-21T13:01:05.835609"
"654","9","Mobile","Android","Oppo","","2024-04-12T13:01:05.835609"
"655","9","Web","Web","","Microsoft Edge","2024-04-04T13:01:05.835609"
"656","9","Mobile","Android","Oppo","","2024-03-27T13:01:05.835609"
"657","9","Web","Web","","UC Browser","2024-03-18T13:01:05.835609"
"658","9","Web","Web","","Opera","2024-03-15T13:01:05.835609"
"659","9","Web","Web","","Opera","2024-03-05T13:01:05.835609"
"660","9","Mobile","iOS","iPhone","","2024-02-27T13:01:05.835609"
"661","9","Mobile","Android","Xiaomi","","2024-02-19T13:01:05.835609"
"662","9","Web","Web","","UC Browser","2024-02-16T13:01:05.835609"
"663","9","Web","Web","","Google Chrome","2024-02-05T13:01:05.835609"
"664","9","Web","Web","","UC Browser","2024-01-30T13:01:05.835609"
"665","9","Web","Web","","Microsoft Edge","2024-01-25T13:01:05.835609"
"666","9","Mobile","iOS","iPhone","","2024-01-15T13:01:05.835609"
"667","9","Mobile","Android","OnePlus","","2024-01-12T13:01:05.835609"
"668","9","Web","Web","","Opera","2024-01-01T13:01:05.835609"
"669","9","Web","Web","","Microsoft Edge","2023-12-30T13:01:05.835609"
"670","9","Web","Web","","Firefox","2023-12-19T13:01:05.835609"
"671","9","Mobile","Android","Google Pixel","","2023-12-14T13:01:05.835609"
"672","9","Web","Web","","Safari","2023-12-04T13:01:05.835609"
"673","9","Mobile","iOS","iPhone","","2023-11-27T13:01:05.835609"
"674","9","Web","Web","","Firefox","2023-11-23T13:01:05.835609"
"675","9","Web","Web","","Microsoft Edge","2023-11-17T13:01:05.835609"
"676","9","Mobile","Android","OnePlus","","2023-11-10T13:01:05.835609"
"677","10","Mobile","Android","Samsung Galaxy","","2024-11-03T13:01:05.835609"
"678","10","Web","Web","","Safari","2024-10-21T13:01:05.835609"
"679","10","Mobile","iOS","iPhone","","2024-10-15T13:01:05.835609"
"680","10","Mobile","iOS","iPhone","","2024-10-07T13:01:05.835609"
"681","10","Mobile","Android","Samsung Galaxy","","2024-10-02T13:01:05.835609"
"682","10","Mobile","iOS","iPhone","","2024-09-29T13:01:05.835609"
"683","10","Web","Web","","UC Browser","2024-09-21T13:01:05.835609"
"684","10","Web","Web","","Opera","2024-09-10T13:01:05.835609"
"685","10","Web","Web","","Opera","2024-09-08T13:01:05.835609"
"686","10","Web","Web","","Microsoft Edge","2024-09-01T13:01:05.835609"
"687","10","Web","Web","","Microsoft Edge","2024-08-25T13:01:05.835609"
"688","10","Web","Web","","Opera","2024-08-14T13:01:05.835609"
"689","10","Web","Web","","UC Browser","2024-08-06T13:01:05.835609"
"690","10","Web","Web","","Microsoft Edge","2024-07-29T13:01:05.835609"
"691","10","Web","Web","","Microsoft Edge","2024-07-25T13:01:05.835609"
"692","10","Web","Web","","Firefox","2024-07-17T13:01:05.835609"
"693","10","Web","Web","","UC Browser","2024-07-13T13:01:05.835609"
"694","10","Web","Web","","Opera","2024-07-04T13:01:05.835609"
"695","10","Mobile","iOS","iPhone","","2024-06-29T13:01:05.835609"
"696","10","Mobile","Android","OnePlus","","2024-06-18T13:01:05.835609"
"697","10","Mobile","Android","OnePlus","","2024-06-16T13:01:05.835609"
"698","10","Mobile","Android","Other","","2024-06-06T13:01:05.835609"
"699","10","Web","Web","","Opera","2024-05-28T13:01:05.835609"
"700","10","Mobile","Android","Realme","","2024-05-25T13:01:05.835609"
"701","10","Mobile","Android","OnePlus","","2024-05-16T13:01:05.835609"
"702","10","Mobile","iOS","iPhone","","2024-05-07T13:01:05.835609"
"703","10","Mobile","Android","OnePlus","","2024-04-29T13:01:05.835609"
"704","10","Mobile","iOS","iPhone","","2024-04-23T13:01:05.835609"
"705","10","Web","Web","","UC Browser","2024-04-20T13:01:05.835609"
"706","10","Mobile","iOS","iPhone","","2024-04-09T13:01:05.835609"
"707","10","Web","Web","","Firefox","2024-04-07T13:01:05.835609"
"708","10","Web","Web","","Opera","2024-03-29T13:01:05.835609"
"709","10","Web","Web","","Other","2024-03-20T13:01:05.835609"
"710","10","Web","Web","","Safari","2024-03-15T13:01:05.835609"
"711","10","Web","Web","","Google Chrome","2024-03-06T13:01:05.835609"
"712","10","Web","Web","","Safari","2024-03-03T13:01:05.835609"
"713","10","Web","Web","","Microsoft Edge","2024-02-23T13:01:05.835609"
"714","10","Mobile","iOS","iPhone","","2024-02-12T13:01:05.835609"
"715","10","Mobile","Android","Google Pixel","","2024-02-09T13:01:05.835609"
"716","10","Mobile","Android","OnePlus","","2024-01-30T13:01:05.835609"
"717","10","Mobile","Android","Vivo","","2024-01-27T13:01:05.835609"
"718","10","Mobile","iOS","iPhone","","2024-01-21T13:01:05.835609"
"719","10","Mobile","Android","Samsung Galaxy","","2024-01-12T13:01:05.835609"
"720","10","Web","Web","","Other","2024-01-03T13:01:05.835609"
"721","10","Mobile","Android","OnePlus","","2023-12-30T13:01:05.835609"
"722","10","Web","Web","","Safari","2023-12-21T13:01:05.835609"
"723","10","Mobile","Android","Other","","2023-12-14T13:01:05.835609"
"724","10","Mobile","Android","Google Pixel","","2023-12-07T13:01:05.835609"
"725","10","Mobile","Android","Vivo","","2023-11-27T13:01:05.835609"
"726","10","Mobile","iOS","iPhone","","2023-11-20T13:01:05.835609"
"727","10","Mobile","iOS","iPhone","","2023-11-16T13:01:05.835609"
"728","10","Mobile","iOS","iPhone","","2023-11-12T13:01:05.835609"
